,FileAddress,sequence name,img name,SpatRx,SpatRy,Slicethick,Goasting,tSNR (Averaged Brain ROI),Displacement factor (std of Mutual information)
0,/Volumes/Publications/2023_Kalantari_AIDAqc/inputs/mri/new_studies/Aswendt/cryocoil/SP_T1_22_2_1_1_20180607_124026/7,<BRUKER:EPI><4_GRE_FMRI_128MTX_155_TR1420>,rsfMRI_SP_T1_22_2_1_1_20180607_124026_1.png,0.140625,0.140625,0.5,False,24.79449354957371,0.01883672695803379
1,/Volumes/Publications/2023_Kalantari_AIDAqc/inputs/mri/new_studies/Aswendt/cryocoil/SP_T1_13_2_1_1_20180412_161205/7,<BRUKER:EPI><4_GRE_FMRI_128MTX_155_TR1420>,rsfMRI_SP_T1_13_2_1_1_20180412_161205_2.png,0.140625,0.140625,0.5,False,24.39821083679564,0.021803876679437145
2,/Volumes/Publications/2023_Kalantari_AIDAqc/inputs/mri/new_studies/Aswendt/cryocoil/SP_V1_8_3_1_1_20180503_131614/9,<BRUKER:EPI><4_GRE_FMRI_128MTX_155_TR1420>,rsfMRI_SP_V1_8_3_1_1_20180503_131614_3.png,0.140625,0.140625,0.5,False,23.56715485471196,0.01749596172565224
3,/Volumes/Publications/2023_Kalantari_AIDAqc/inputs/mri/new_studies/Aswendt/cryocoil/SP_V1_11_3_1_1_20180920_131128/11,<BRUKER:EPI><4_GRE_FMRI_128MTX_155_TR1420>,rsfMRI_SP_V1_11_3_1_1_20180920_131128_4.png,0.140625,0.140625,0.5,False,19.205235522612345,0.028101183608165242
4,/Volumes/Publications/2023_Kalantari_AIDAqc/inputs/mri/new_studies/Aswendt/cryocoil/SP_V1_8_1_1_2_20180503_101708/6,<BRUKER:EPI><4_GRE_FMRI_128MTX_155_TR1420>,rsfMRI_SP_V1_8_1_1_2_20180503_101708_5.png,0.140625,0.140625,0.5,False,25.08253418932099,0.011693182012300664
5,/Volumes/Publications/2023_Kalantari_AIDAqc/inputs/mri/new_studies/Aswendt/cryocoil/SP_V1_11_5_1_1_20180920_145915/6,<BRUKER:EPI><4_GRE_FMRI_128MTX_155_TR1420>,rsfMRI_SP_V1_11_5_1_1_20180920_145915_6.png,0.140625,0.140625,0.5,False,20.281005503079744,0.02439768090224043
6,/Volumes/Publications/2023_Kalantari_AIDAqc/inputs/mri/new_studies/Aswendt/cryocoil/SP_V1_11_4_1_1_20180920_140835/6,<BRUKER:EPI><4_GRE_FMRI_128MTX_155_TR1420>,rsfMRI_SP_V1_11_4_1_1_20180920_140835_7.png,0.140625,0.140625,0.5,False,24.66712517745531,0.03754698325464218
7,/Volumes/Publications/2023_Kalantari_AIDAqc/inputs/mri/new_studies/Aswendt/cryocoil/SP_T1_22_3_1_1_20180607_133621/6,<BRUKER:EPI><4_GRE_FMRI_128MTX_155_TR1420>,rsfMRI_SP_T1_22_3_1_1_20180607_133621_8.png,0.140625,0.140625,0.5,False,24.40485833881642,0.015396119308155251
8,/Volumes/Publications/2023_Kalantari_AIDAqc/inputs/mri/new_studies/Aswendt/cryocoil/SP_V1_9_3_1_1_20180725_123651/6,<BRUKER:EPI><4_GRE_FMRI_128MTX_155_TR1420>,rsfMRI_SP_V1_9_3_1_1_20180725_123651_9.png,0.140625,0.140625,0.5,False,25.199575920033396,0.02490558776223653
9,/Volumes/Publications/2023_Kalantari_AIDAqc/inputs/mri/new_studies/Aswendt/cryocoil/SP_V1_11_2_1_1_20180920_112847/5,<BRUKER:EPI><4_GRE_FMRI_128MTX_155_TR1420>,rsfMRI_SP_V1_11_2_1_1_20180920_112847_10.png,0.140625,0.140625,0.5,False,10.16572268572512,0.051795410990129645
