,FileAddress,corresponding_img,SpatRx,SpatRy,Slicethick,Goasting,SNR Chang,SNR Normal
0,/Volumes/Publications/2023_Kalantari_AIDAqc/inputs/mri/new_studies/Raikes/raikes_02/sub-0797/anat/sub-0797_T2w.nii.gz,T2w_anat_sub-0797_T2w_1.png,0.06373958,0.07469844,0.075,False,30.039492429640205,29.91463485035427
1,/Volumes/Publications/2023_Kalantari_AIDAqc/inputs/mri/new_studies/Raikes/raikes_02/sub-7972/anat/sub-7972_run-01_T2w.nii.gz,T2w_anat_sub-7972_run-01_T2w_2.png,0.075,0.075,0.075,False,26.814958328598934,27.390388252146426
2,/Volumes/Publications/2023_Kalantari_AIDAqc/inputs/mri/new_studies/Raikes/raikes_02/sub-7972/anat/sub-7972_run-02_T2w.nii.gz,T2w_anat_sub-7972_run-02_T2w_3.png,0.075,0.075,0.075,False,28.657996397643835,30.092180176157548
3,/Volumes/Publications/2023_Kalantari_AIDAqc/inputs/mri/new_studies/Raikes/raikes_02/sub-7929/anat/sub-7929_run-02_T2w.nii.gz,T2w_anat_sub-7929_run-02_T2w_4.png,0.075,0.075,0.075,False,29.494916837246024,30.944657048983878
4,/Volumes/Publications/2023_Kalantari_AIDAqc/inputs/mri/new_studies/Raikes/raikes_02/sub-7929/anat/sub-7929_run-01_T2w.nii.gz,T2w_anat_sub-7929_run-01_T2w_5.png,0.075,0.075,0.075,False,27.627259161792054,28.505385947214897
5,/Volumes/Publications/2023_Kalantari_AIDAqc/inputs/mri/new_studies/Raikes/raikes_02/sub-7942/anat/sub-7942_run-01_T2w.nii.gz,T2w_anat_sub-7942_run-01_T2w_6.png,0.075,0.075,0.075,False,28.703992128171855,29.060725812817477
6,/Volumes/Publications/2023_Kalantari_AIDAqc/inputs/mri/new_studies/Raikes/raikes_02/sub-7942/anat/sub-7942_run-02_T2w.nii.gz,T2w_anat_sub-7942_run-02_T2w_7.png,0.075,0.075,0.075,False,31.031606469265206,31.950267189653378
7,/Volumes/Publications/2023_Kalantari_AIDAqc/inputs/mri/new_studies/Raikes/raikes_02/sub-7973/anat/sub-7973_run-01_T2w.nii.gz,T2w_anat_sub-7973_run-01_T2w_8.png,0.075,0.075,0.075,False,28.160645233577014,28.342647160403423
8,/Volumes/Publications/2023_Kalantari_AIDAqc/inputs/mri/new_studies/Raikes/raikes_02/sub-7973/anat/sub-7973_run-02_T2w.nii.gz,T2w_anat_sub-7973_run-02_T2w_9.png,0.075,0.075,0.075,False,30.388794887283726,30.8465454601609
9,/Volumes/Publications/2023_Kalantari_AIDAqc/inputs/mri/new_studies/Raikes/raikes_02/sub-0811/anat/sub-0811_T2w.nii.gz,T2w_anat_sub-0811_T2w_10.png,0.06373958,0.075,0.075,False,29.09861783736757,29.486136720760054
10,/Volumes/Publications/2023_Kalantari_AIDAqc/inputs/mri/new_studies/Raikes/raikes_02/sub-0818/anat/sub-0818_T2w.nii.gz,T2w_anat_sub-0818_T2w_11.png,0.06373958,0.075,0.075,False,30.40424163197481,29.31922699151473
11,/Volumes/Publications/2023_Kalantari_AIDAqc/inputs/mri/new_studies/Raikes/raikes_02/sub-0820/anat/sub-0820_T2w.nii.gz,T2w_anat_sub-0820_T2w_12.png,0.06373958,0.075,0.075,False,29.9635048129917,29.294600684683182
12,/Volumes/Publications/2023_Kalantari_AIDAqc/inputs/mri/new_studies/Raikes/raikes_02/sub-6380/anat/sub-6380_run-02_T2w.nii.gz,T2w_anat_sub-6380_run-02_T2w_13.png,0.075,0.075,0.075,False,30.945752736520568,31.293286986064036
13,/Volumes/Publications/2023_Kalantari_AIDAqc/inputs/mri/new_studies/Raikes/raikes_02/sub-6380/anat/sub-6380_run-01_T2w.nii.gz,T2w_anat_sub-6380_run-01_T2w_14.png,0.075,0.075,0.075,False,28.771823252393375,28.961200202634405
14,/Volumes/Publications/2023_Kalantari_AIDAqc/inputs/mri/new_studies/Raikes/raikes_02/sub-0083/anat/sub-0083_run-01_T2w.nii.gz,T2w_anat_sub-0083_run-01_T2w_15.png,0.075,0.075,0.075,False,27.373950489696682,27.543011534867986
