,FileAddress,corresponding_img,SpatRx,SpatRy,Slicethick,Goasting,SNR Chang,SNR Normal,Displacement factor (std of Mutual information)
0,/Volumes/Publications/2023_Kalantari_AIDAqc/inputs/mri/new_studies/Raikes/raikes_02/sub-0797/dwi/sub-0797_run-03_dwi.nii.gz,DTI_dwi_sub-0797_run-03_dwi_1.png,0.2,0.2,0.2,False,32.35252683209997,27.615490439909816,0.04030087950665206
1,/Volumes/Publications/2023_Kalantari_AIDAqc/inputs/mri/new_studies/Raikes/raikes_02/sub-0797/dwi/sub-0797_run-01_dwi.nii.gz,DTI_dwi_sub-0797_run-01_dwi_2.png,0.2,0.2,0.2,False,35.65384231377257,31.782219187927353,0.04657608064827435
2,/Volumes/Publications/2023_Kalantari_AIDAqc/inputs/mri/new_studies/Raikes/raikes_02/sub-0797/dwi/sub-0797_run-02_dwi.nii.gz,DTI_dwi_sub-0797_run-02_dwi_3.png,0.2,0.2,0.2,False,33.63514023590118,29.566129591481417,0.043435119071096435
3,/Volumes/Publications/2023_Kalantari_AIDAqc/inputs/mri/new_studies/Raikes/raikes_02/sub-7972/dwi/sub-7972_run-02_dwi.nii.gz,DTI_dwi_sub-7972_run-02_dwi_4.png,0.2,0.2,0.2,False,31.305212044141232,28.017136573912595,0.035289363392145154
4,/Volumes/Publications/2023_Kalantari_AIDAqc/inputs/mri/new_studies/Raikes/raikes_02/sub-7972/dwi/sub-7972_run-01_dwi.nii.gz,DTI_dwi_sub-7972_run-01_dwi_5.png,0.2,0.2,0.2,False,33.27284932690007,30.285474207657792,0.043366975984743705
5,/Volumes/Publications/2023_Kalantari_AIDAqc/inputs/mri/new_studies/Raikes/raikes_02/sub-7972/dwi/sub-7972_run-03_dwi.nii.gz,DTI_dwi_sub-7972_run-03_dwi_6.png,0.2,0.2,0.2,False,29.754896707882985,25.907078629521937,0.031471265806119066
6,/Volumes/Publications/2023_Kalantari_AIDAqc/inputs/mri/new_studies/Raikes/raikes_02/sub-7929/dwi/sub-7929_run-03_dwi.nii.gz,DTI_dwi_sub-7929_run-03_dwi_7.png,0.2,0.2,0.2,False,30.614702936261764,26.450697251957507,0.05632081896611482
7,/Volumes/Publications/2023_Kalantari_AIDAqc/inputs/mri/new_studies/Raikes/raikes_02/sub-7929/dwi/sub-7929_run-01_dwi.nii.gz,DTI_dwi_sub-7929_run-01_dwi_8.png,0.2,0.2,0.2,False,34.27375265624264,31.14116205553783,0.06068764560591055
8,/Volumes/Publications/2023_Kalantari_AIDAqc/inputs/mri/new_studies/Raikes/raikes_02/sub-7929/dwi/sub-7929_run-02_dwi.nii.gz,DTI_dwi_sub-7929_run-02_dwi_9.png,0.2,0.2,0.2,False,32.39967571885678,28.794964702455164,0.053891610124112116
9,/Volumes/Publications/2023_Kalantari_AIDAqc/inputs/mri/new_studies/Raikes/raikes_02/sub-7942/dwi/sub-7942_run-02_dwi.nii.gz,DTI_dwi_sub-7942_run-02_dwi_10.png,0.2,0.2,0.2,False,33.847276873162244,29.625740565613647,0.05621821641667354
